<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>
2025.04.03	23:15:00	3107.76	3110.93	3107.7	3110.03
2025.04.03	23:30:00	3110	3117.83	3109.82	3117.32
2025.04.03	23:45:00	3117.32	3119.82	3112.97	3113.38
2025.04.04	01:00:00	3114.6	3115.18	3113.25	3114.43
2025.04.04	01:15:00	3114.43	3115.07	3112.92	3114.56
2025.04.04	01:30:00	3114.56	3116.75	3114.37	3116.12
2025.04.04	01:45:00	3116.04	3116.21	3112.46	3115.4
2025.04.04	02:00:00	3115.4	3115.45	3109.85	3111.29
2025.04.04	02:15:00	3111.29	3112.97	3110.61	3112.67
2025.04.04	02:30:00	3112.67	3115.34	3112.51	3114.52
2025.04.04	02:45:00	3114.52	3116.36	3112.89	3112.96
2025.04.04	03:00:00	3112.96	3115.12	3111.98	3112.64
2025.04.04	03:15:00	3112.64	3113.35	3109.17	3109.26
2025.04.04	03:30:00	3109.29	3111.08	3106.07	3110.93
2025.04.04	03:45:00	3110.91	3111.69	3108.57	3110.68
2025.04.04	04:00:00	3110.68	3115.81	3110.44	3114.65
2025.04.04	04:15:00	3114.67	3114.92	3111.79	3113.88
2025.04.04	04:30:00	3113.88	3114.39	3109.19	3110.1
2025.04.04	04:45:00	3110.1	3112.76	3109.48	3109.84
2025.04.04	05:00:00	3109.82	3112.97	3107.54	3112.84
2025.04.04	05:15:00	3112.76	3112.88	3104.45	3104.72
2025.04.04	05:30:00	3104.85	3106.1	3091.35	3098.5
2025.04.04	05:45:00	3098.5	3099.25	3092.91	3096.86
2025.04.04	06:00:00	3096.82	3099.1	3087.03	3093.76
2025.04.04	06:15:00	3093.76	3094.3	3089.84	3093.51
2025.04.04	06:30:00	3093.51	3095.62	3091.81	3094.92
2025.04.04	06:45:00	3094.91	3098.46	3092.79	3098.46
2025.04.04	07:00:00	3098.47	3100.46	3096.07	3099.54
2025.04.04	07:15:00	3099.54	3101.76	3098.23	3098.92
2025.04.04	07:30:00	3098.92	3104.51	3097.54	3104.3
2025.04.04	07:45:00	3104.24	3105	3098.2	3100.12
2025.04.04	08:00:00	3099.97	3105.01	3098.87	3101.98
2025.04.04	08:15:00	3101.98	3107.54	3101.52	3106.06
2025.04.04	08:30:00	3106.06	3106.06	3101.79	3102.87
2025.04.04	08:45:00	3102.87	3108.86	3102.64	3108.85
2025.04.04	09:00:00	3108.89	3109.95	3106.46	3107.5
2025.04.04	09:15:00	3107.5	3107.94	3102.54	3102.91
2025.04.04	09:30:00	3102.91	3104.66	3100.72	3101.28
2025.04.04	09:45:00	3101.3	3103.5	3100.59	3101.11
2025.04.04	10:00:00	3101.05	3102.6	3095.02	3100.2
2025.04.04	10:15:00	3100.2	3103.51	3092.95	3100.39
2025.04.04	10:30:00	3100.39	3100.48	3093.71	3093.87
2025.04.04	10:45:00	3093.87	3096.66	3092.07	3092.85
2025.04.04	11:00:00	3092.85	3094.13	3088.32	3089.1
2025.04.04	11:15:00	3089.13	3089.39	3082	3084.66
2025.04.04	11:30:00	3084.83	3084.83	3078.49	3083.21
2025.04.04	11:45:00	3083.21	3085.86	3081.48	3084.24
2025.04.04	12:00:00	3084.24	3092.43	3083.91	3090.95
2025.04.04	12:15:00	3090.95	3096.01	3090	3093.73
2025.04.04	12:30:00	3093.74	3093.78	3088.2	3088.23
2025.04.04	12:45:00	3088.22	3094.73	3086.65	3090.68
2025.04.04	13:00:00	3090.69	3100.18	3090.64	3095.31
2025.04.04	13:15:00	3095.31	3107.04	3093.92	3106.89
2025.04.04	13:30:00	3106.93	3116.2	3104.45	3111.24
2025.04.04	13:45:00	3111.15	3115.63	3104.74	3110.47
2025.04.04	14:00:00	3110.34	3136.67	3109.16	3134.5
2025.04.04	14:15:00	3134.49	3134.55	3126.23	3127.34
2025.04.04	14:30:00	3127.34	3129.26	3107	3109.52
2025.04.04	14:45:00	3109.52	3112.24	3095.75	3110.35
2025.04.04	15:00:00	3110.71	3111.82	3091.65	3092.81
2025.04.04	15:15:00	3092.65	3104.22	3091.4	3096.91
2025.04.04	15:30:00	3097.23	3101.54	3070.82	3088.91
2025.04.04	15:45:00	3088.91	3090.24	3069.91	3071.18
2025.04.04	16:00:00	3071.26	3082.66	3070.12	3082.39
2025.04.04	16:15:00	3082.39	3087.42	3075.69	3075.79
2025.04.04	16:30:00	3075.52	3080.36	3059.97	3074.81
2025.04.04	16:45:00	3074.83	3077.01	3061.51	3061.98
2025.04.04	17:00:00	3061.83	3061.83	3047.43	3048.91
2025.04.04	17:15:00	3048.76	3058.8	3041.9	3047.79
2025.04.04	17:30:00	3047.76	3051.53	3041.88	3042.76
2025.04.04	17:45:00	3042.75	3050.64	3027.19	3038.49
2025.04.04	18:00:00	3038.39	3050.39	3031.48	3044.25
2025.04.04	18:15:00	3044.05	3044.67	3023.74	3026.29
2025.04.04	18:30:00	3026.31	3035.56	3017.51	3017.93
2025.04.04	18:45:00	3017.93	3025.08	3017.04	3021.92
2025.04.04	19:00:00	3021.92	3026.2	3017.91	3022.54
2025.04.04	19:15:00	3022.34	3032.46	3020.92	3030.78
2025.04.04	19:30:00	3030.71	3036.82	3026.79	3032.58
2025.04.04	19:45:00	3032.59	3032.68	3029.26	3030.97
2025.04.04	20:00:00	3031.01	3032.94	3024.64	3027.3
