<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.04.30	10:45:00	3314.20	3314.21	3307.21	3307.22	1899	0	7
2025.04.30	11:00:00	3307.21	3307.74	3285.13	3285.13	3819	0	7
2025.04.30	11:15:00	3285.09	3290.65	3280.35	3285.71	3500	0	7
2025.04.30	11:30:00	3285.61	3289.17	3282.98	3286.03	2129	0	7
2025.04.30	11:45:00	3286.03	3287.67	3282.93	3284.52	2170	0	7
2025.04.30	12:00:00	3284.52	3286.91	3280.76	3284.87	2081	0	7
2025.04.30	12:15:00	3284.87	3284.94	3278.31	3283.08	2138	0	7
2025.04.30	12:30:00	3283.08	3286.92	3282.66	3284.64	1687	0	7
2025.04.30	12:45:00	3284.64	3284.66	3275.09	3275.97	2550	0	7
2025.04.30	13:00:00	3275.99	3276.89	3272.17	3273.96	1965	0	7
2025.04.30	13:15:00	3273.94	3279.25	3271.88	3277.57	1947	0	7
2025.04.30	13:30:00	3277.57	3280.87	3275.17	3276.78	1734	0	7
2025.04.30	13:45:00	3276.78	3278.02	3272.56	3272.61	1392	0	7
2025.04.30	14:00:00	3272.61	3278.17	3268.32	3276.09	2990	0	7
2025.04.30	14:15:00	3276.09	3281.71	3274.57	3280.54	1589	0	7
2025.04.30	14:30:00	3280.54	3281.53	3279.21	3279.57	1184	0	7
2025.04.30	14:45:00	3279.57	3280.07	3269.44	3272.33	2316	0	7
2025.04.30	15:00:00	3272.35	3277.85	3266.96	3275.66	2994	0	7
2025.04.30	15:15:00	3275.52	3292.36	3275.18	3289.74	4185	0	7
2025.04.30	15:30:00	3289.74	3295.62	3283.69	3295.40	4867	0	7
2025.04.30	15:45:00	3295.49	3304.83	3294.04	3298.70	5137	0	7
2025.04.30	16:00:00	3298.72	3308.52	3296.29	3308.27	4266	0	7
2025.04.30	16:15:00	3308.24	3309.81	3300.53	3304.54	3772	0	7
2025.04.30	16:30:00	3304.53	3319.85	3304.10	3318.65	5062	0	7
2025.04.30	16:45:00	3318.69	3319.11	3305.15	3309.38	4627	0	7
2025.04.30	17:00:00	3309.09	3310.79	3298.74	3308.16	5920	0	7
2025.04.30	17:15:00	3308.16	3313.81	3304.60	3304.67	4441	0	7
2025.04.30	17:30:00	3304.58	3305.43	3293.01	3294.43	4942	0	7
2025.04.30	17:45:00	3294.43	3312.94	3293.09	3310.05	4869	0	7
2025.04.30	18:00:00	3309.98	3314.68	3303.26	3308.12	3984	0	7
2025.04.30	18:15:00	3308.12	3311.30	3305.65	3306.55	3652	0	7
2025.04.30	18:30:00	3306.57	3310.25	3301.47	3302.26	3083	0	7
2025.04.30	18:45:00	3302.15	3308.93	3299.07	3308.05	3106	0	7
2025.04.30	19:00:00	3308.05	3312.30	3307.19	3309.85	2468	0	7
2025.04.30	19:15:00	3309.85	3313.08	3307.80	3308.98	2333	0	7
2025.04.30	19:30:00	3308.98	3314.30	3307.76	3312.52	2517	0	7
2025.04.30	19:45:00	3312.52	3313.22	3309.86	3310.86	2184	0	7
2025.04.30	20:00:00	3310.76	3313.60	3305.98	3307.02	2342	0	7
2025.04.30	20:15:00	3307.04	3309.64	3305.06	3308.85	2632	0	7
2025.04.30	20:30:00	3308.85	3311.12	3306.76	3309.76	1754	0	7
2025.04.30	20:45:00	3309.76	3310.77	3304.95	3305.24	1321	0	7
2025.04.30	21:00:00	3305.28	3307.47	3302.55	3307.04	2705	0	7
2025.04.30	21:15:00	3307.04	3307.78	3300.83	3301.37	1898	0	7
2025.04.30	21:30:00	3301.37	3303.66	3300.40	3301.96	1600	0	7
2025.04.30	21:45:00	3301.96	3303.44	3300.54	3301.75	1260	0	7
2025.04.30	22:00:00	3301.85	3305.76	3301.79	3305.05	939	0	7
2025.04.30	22:15:00	3305.05	3305.27	3298.08	3299.33	1310	0	7
2025.04.30	22:30:00	3299.33	3301.11	3292.92	3293.29	2078	0	7
2025.04.30	22:45:00	3293.33	3296.17	3292.15	3295.92	2095	0	7
2025.04.30	23:00:00	3295.92	3297.99	3292.02	3294.51	1579	0	7
2025.04.30	23:15:00	3294.51	3295.10	3289.52	3290.88	1111	0	7
2025.04.30	23:30:00	3290.71	3290.88	3283.15	3289.88	1707	0	7
2025.04.30	23:45:00	3289.89	3291.12	3287.18	3288.47	1045	0	17
2025.05.01	01:00:00	3289.26	3290.21	3274.44	3276.61	1413	0	7
2025.05.01	01:15:00	3276.60	3279.55	3272.13	3276.20	1569	0	7
2025.05.01	01:30:00	3276.20	3281.15	3271.42	3276.10	1863	0	7
2025.05.01	01:45:00	3276.10	3280.02	3273.60	3274.02	1172	0	7
2025.05.01	02:00:00	3274.02	3285.14	3273.45	3280.63	1478	0	7
2025.05.01	02:15:00	3280.63	3280.66	3274.00	3278.19	1528	0	7
2025.05.01	02:30:00	3278.18	3278.18	3269.80	3274.38	1507	0	7
2025.05.01	02:45:00	3274.38	3276.65	3271.89	3272.69	1294	0	7
2025.05.01	03:00:00	3272.96	3276.27	3269.56	3275.27	2102	0	7
2025.05.01	03:15:00	3275.27	3276.38	3254.04	3258.96	3037	0	7
2025.05.01	03:30:00	3258.96	3259.21	3245.45	3248.06	2980	0	9
2025.05.01	03:45:00	3248.06	3253.07	3241.20	3246.50	2683	0	8
2025.05.01	04:00:00	3246.50	3248.64	3235.63	3243.95	2196	0	7
2025.05.01	04:15:00	3243.95	3249.65	3239.32	3249.04	1645	0	7
2025.05.01	04:30:00	3249.04	3251.40	3243.88	3244.22	1939	0	7
2025.05.01	04:45:00	3244.26	3245.19	3234.37	3238.95	2423	0	7
2025.05.01	05:00:00	3238.95	3242.72	3235.17	3240.45	1270	0	7
2025.05.01	05:15:00	3240.45	3251.74	3240.35	3246.50	2036	0	7
2025.05.01	05:30:00	3246.31	3248.46	3242.97	3244.19	1305	0	7
2025.05.01	05:45:00	3244.19	3245.25	3239.73	3241.58	1556	0	7
2025.05.01	06:00:00	3241.58	3242.58	3231.11	3232.04	1891	0	7
2025.05.01	06:15:00	3232.06	3238.01	3231.28	3233.30	1898	0	7
2025.05.01	06:30:00	3233.30	3237.24	3229.40	3235.15	2085	0	7
2025.05.01	06:45:00	3235.15	3237.03	3228.92	3229.51	1996	0	7
2025.05.01	07:00:00	3229.56	3231.34	3225.33	3228.51	1965	0	7
2025.05.01	07:15:00	3228.51	3228.51	3223.57	3226.44	1464	0	7
2025.05.01	07:30:00	3226.44	3227.04	3221.31	3226.65	1802	0	7
2025.05.01	07:45:00	3226.65	3231.98	3225.72	3226.63	1555	0	7
2025.05.01	08:00:00	3226.62	3229.95	3223.43	3229.27	1618	0	7
2025.05.01	08:15:00	3229.27	3233.30	3227.40	3230.56	2170	0	7
2025.05.01	08:30:00	3230.58	3236.51	3228.66	3233.65	2476	0	7
2025.05.01	08:45:00	3233.65	3238.85	3233.39	3236.64	1661	0	7
2025.05.01	09:00:00	3236.64	3243.22	3236.06	3238.16	2478	0	7
2025.05.01	09:15:00	3238.16	3240.06	3233.87	3235.96	2826	0	7
2025.05.01	09:30:00	3235.96	3240.37	3235.42	3237.45	2332	0	7
2025.05.01	09:45:00	3237.47	3237.88	3234.76	3235.77	1861	0	7
2025.05.01	10:00:00	3235.74	3236.98	3228.16	3231.21	2560	0	7
2025.05.01	10:15:00	3231.22	3232.45	3226.11	3230.60	2025	0	7
2025.05.01	10:30:00	3230.49	3235.40	3229.63	3234.66	1964	0	7
2025.05.01	10:45:00	3234.66	3234.83	3228.51	3230.11	1855	0	7
2025.05.01	11:00:00	3230.11	3235.49	3229.96	3232.93	2015	0	7
2025.05.01	11:15:00	3232.93	3236.78	3232.76	3234.60	1508	0	7
2025.05.01	11:30:00	3234.61	3234.94	3232.00	3232.45	1214	0	7
2025.05.01	11:45:00	3232.45	3235.35	3232.38	3235.27	1009	0	7
2025.05.01	12:00:00	3235.26	3236.27	3228.25	3230.35	2348	0	7
2025.05.01	12:15:00	3230.35	3230.42	3225.58	3225.83	1220	0	7
2025.05.01	12:30:00	3225.85	3226.67	3219.74	3223.04	1767	0	7
2025.05.01	12:45:00	3223.03	3224.39	3215.85	3218.49	2484	0	7
2025.05.01	13:00:00	3218.51	3220.46	3214.64	3215.09	2327	0	7
2025.05.01	13:15:00	3215.01	3219.30	3213.58	3218.44	2166	0	7
2025.05.01	13:30:00	3218.44	3225.34	3217.94	3224.10	2086	0	7
2025.05.01	13:45:00	3224.10	3224.36	3221.63	3222.95	1880	0	7
2025.05.01	14:00:00	3222.96	3226.84	3222.25	3223.64	1834	0	7
2025.05.01	14:15:00	3223.64	3227.10	3222.86	3223.20	1901	0	7
2025.05.01	14:30:00	3223.20	3225.29	3214.33	3214.38	2532	0	7
2025.05.01	14:45:00	3214.38	3214.99	3203.51	3205.55	3449	0	7
2025.05.01	15:00:00	3205.55	3210.03	3202.01	3206.86	3263	0	7
2025.05.01	15:15:00	3206.86	3220.00	3203.77	3219.23	3991	0	7
2025.05.01	15:30:00	3219.21	3228.55	3218.55	3226.58	4629	0	7
